Time,enc_1,enc_2,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-07-10 12:11:41.777,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.809,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.823,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.835,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.843,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.850,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.859,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.866,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.875,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.884,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.891,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.899,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.908,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.917,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.925,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.933,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.941,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.948,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.956,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.965,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.969,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.978,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.986,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.992,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:41.998,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.005,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.013,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.019,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.028,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.036,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.044,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.052,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.059,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.065,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.074,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.082,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.089,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.096,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.105,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.114,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.123,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.131,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.139,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.147,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.154,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.162,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.171,0,0,0,-4.368,,,,,,,,,
2024-07-10 12:11:42.179,0,0,0,-4.368,,,,,,,,,
